LATITUD,LONGITUD,DISTRITO
4.039.982.891.410.400,-3.621.281.890.570.370,VICALVARO
40.394.522.745.106.700,-37.000.855.961.559.800,ARGANZUELA
4.041.878.362.561.590,-36.866.519.471.003.600,RETIRO
4.039.241.374.953.320,-3.697.247.685.884.220,ARGANZUELA
4.040.159.394.334.660,-3.749.110.841.406.560,LATINA
40.419.011.767.401.000,-3.692.206.111.679.650,RETIRO
4.039.241.374.953.320,-3.697.247.685.884.220,ARGANZUELA
40.426.642.215.368.100,-3.699.722.994.908.340,CENTRO
4.039.164.343.238.080,-3.717.140.510.927.290,CARABANCHEL
4.037.690.319.217.390,-3.741.639.735.552.090,CARABANCHEL
4.038.684.744.124.120,-3.727.740.326.743.950,CARABANCHEL
4.039.982.891.410.400,-3.621.281.890.570.370,VICALVARO
4.037.420.290.010.210,-37.510.337.449.848.600,CARABANCHEL
4.037.420.290.010.210,-37.510.337.449.848.600,CARABANCHEL
4.040.647.389.284.970,-37.327.010.920.242.000,LATINA
4.048.891.397.639.450,-3.714.174.858.198.660,FUENCARRAL-EL PARDO
40.410.560.776.119,-36.937.931.079.230.700,CENTRO
4.040.207.279.862.860,-36.955.325.387.824.000,ARGANZUELA
40.379.565.707.685.800,-36.914.252.404.682.900,USERA
4.043.200.210.571.460,-36.709.293.330.780.200,SALAMANCA
4.044.245.748.722.780,-36.217.095.632.137.300,SAN BLAS-CANILLEJAS
4.046.055.947.228.690,-35.937.461.811.785.300,BARAJAS
40.391.053.041.229.100,-36.958.079.719.260.000,ARGANZUELA
40.392.680.212.409.400,-37.593.572.957.930.500,LATINA
4.042.206.601.994.430,-3.662.968.075.865.230,SALAMANCA
4.042.206.601.994.430,-3.662.968.075.865.230,SALAMANCA
40.399.764.677.637.100,-3.775.144.917.950.530,LATINA
404.166.091.081.099,-36.795.930.368.034.800,RETIRO
4.041.906.024.374.350,-36.840.615.387.926.900,RETIRO
40.476.859.845.869.500,-36.420.353.342.333.200,HORTALEZA
40.378.853.797.128.300,-37.819.616.113.032.100,LATINA
4.039.210.151.448.580,-3.681.620.654.746.180,ARGANZUELA
40.392.680.212.409.400,-37.593.572.957.930.500,LATINA
4.041.789.950.036.310,-37.309.390.858.931.100,MONCLOA-ARAVACA
4.042.027.705.095.570,-3.621.741.078.700.330,SAN BLAS-CANILLEJAS
4.040.647.389.284.970,-37.327.010.920.242.000,LATINA
4.040.943.503.279.110,-36.861.797.800.993.200,RETIROUSERA
4.044.661.949.643.800,-3.703.467.785.151.990,CHAMBERI
40.465.101.515.878.900,-3.693.764.227.321.560,TETUAN
403.829.835.905.706,-37.800.890.564.106.600,LATINA
40.407.316.328.180.400,-3.747.465.416.906.970,LATINA
403.829.835.905.706,-37.800.890.564.106.600,LATINA
40.407.316.328.180.400,-3.747.465.416.906.970,LATINA
4.045.531.140.556.260,-3.587.638.001.688.090,BARAJAS
4.035.087.114.162.280,-3.691.508.909.255.180,VILLAVERDE
4.039.552.931.214.330,-37.562.667.464.373.200,LATINA
40.410.560.776.119,-36.937.931.079.230.700,CENTRO
4.041.888.994.379.540,-3.685.332.498.113.360,RETIRO
4.036.782.603.611.020,-36.670.181.171.393.000,PUENTE DE VALLECAS
40.391.053.041.229.100,-36.958.079.719.260.000,ARGANZUELA
4.044.810.636.195.710,-36.762.309.620.097.300,CHAMARTINUSERA
4.039.241.367.848.800,-3.697.259.467.865.360,ARGANZUELA
40.410.560.776.119,-36.937.931.079.230.700,CENTRO
40.392.680.212.409.400,-37.593.572.957.930.500,LATINA
4.042.802.889.001.870,-3.710.182.353.581.840,CENTRO
4.039.815.439.895.110,-37.125.359.439.695.900,
4.040.977.637.506.590,-36.893.771.841.228.800,RETIRO
4.041.906.024.374.350,-36.840.615.387.926.900,RETIRO
4.040.609.591.857.160,-3.646.536.107.063.500,MORATALAZ
4.039.786.734.087.930,-3.720.088.245.008.890,CARABANCHEL
40.397.020.792.322.300,-3.673.881.351.837.230,RETIRO
4.036.180.966.975.020,-36.927.748.531.714.800,VILLAVERDE
4.036.180.966.975.020,-36.927.748.531.714.800,VILLAVERDE
403.829.835.905.706,-37.800.890.564.106.600,LATINA
4.038.684.744.124.120,-3.727.740.326.743.950,CARABANCHEL
404.789.135.943.213,-3.693.540.659.747.280,FUENCARRAL-EL PARDO
4.040.596.423.138.830,-3.698.601.359.753.860,ARGANZUELA
40.391.053.041.229.100,-36.958.079.719.260.000,ARGANZUELA
4.047.185.296.971.460,-3.714.201.462.972.270,FUENCARRAL-EL PARDO
4.049.082.275.610.170,-37.216.054.330.053.600,FUENCARRAL-EL PARDO
4.049.082.275.610.170,-37.216.054.330.053.600,FUENCARRAL-EL PARDO
4.049.082.275.610.170,-37.216.054.330.053.600,FUENCARRAL-EL PARDO
4.049.082.275.610.170,-37.216.054.330.053.600,FUENCARRAL-EL PARDO
4.049.082.275.610.170,-37.216.054.330.053.600,FUENCARRAL-EL PARDO
4.047.900.813.206.290,-3.709.138.377.702.430,FUENCARRAL-EL PARDO
4.047.900.813.206.290,-3.709.138.377.702.430,FUENCARRAL-EL PARDO
4.047.900.813.206.290,-3.709.138.377.702.430,FUENCARRAL-EL PARDO
4.047.900.813.206.290,-3.709.138.377.702.430,FUENCARRAL-EL PARDO
4.047.900.813.206.290,-3.709.138.377.702.430,FUENCARRAL-EL PARDO
4.047.185.296.971.460,-3.714.201.462.972.270,FUENCARRAL-EL PARDO
4.047.185.296.971.460,-3.714.201.462.972.270,FUENCARRAL-EL PARDO
4.047.185.296.971.460,-3.714.201.462.972.270,FUENCARRAL-EL PARDO
40.495.510.999.757.200,-36.960.480.794.830.000,FUENCARRAL-EL PARDO
40.495.510.999.757.200,-36.960.480.794.830.000,FUENCARRAL-EL PARDO
